"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x127fc65b27fc71272377d6d114d9eca57f71229051944d225806099b33a49e80","41316341","1681016273","2023-04-09 04:57:53","0xa38716be6043c82846c5f879c94ea9d0300cc719","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","55.038304","$55.10","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x127fc65b27fc71272377d6d114d9eca57f71229051944d225806099b33a49e80","41316341","1681016273","2023-04-09 04:57:53","0x2eb1da6b844acc531917d73f7dd4433626cb0946","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","49.81","$49.88","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x7bebc1a400e11beb7ebd14cbc3d8c11bf1c2d30bd5f182885ff7c2d203b931cf","41316551","1681016751","2023-04-09 05:05:51","0xa2569d22a5d352cfd9a553a581fb19b1edea23a0","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.026763560554337042","$49.61","0x7ceb23fd6bc0add59e62ac25578270cff1b9f619","Wrapped Ether","WETH",""
"0x7bebc1a400e11beb7ebd14cbc3d8c11bf1c2d30bd5f182885ff7c2d203b931cf","41316551","1681016751","2023-04-09 05:05:51","0x23af7efe45d5a1452b5424853f1e33adb546c1bf","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","48.095763","$48.16","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x7bebc1a400e11beb7ebd14cbc3d8c11bf1c2d30bd5f182885ff7c2d203b931cf","41316551","1681016751","2023-04-09 05:05:51","0x2195cba565ab95285ba6b670cde15e7f4b0e4462","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","47.88334","$47.94","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x7bebc1a400e11beb7ebd14cbc3d8c11bf1c2d30bd5f182885ff7c2d203b931cf","41316551","1681016751","2023-04-09 05:05:51","0x15b24db69ba67bc322c3abfd1108743fe6886295","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","38.029729","$38.07","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x7bebc1a400e11beb7ebd14cbc3d8c11bf1c2d30bd5f182885ff7c2d203b931cf","41316551","1681016751","2023-04-09 05:05:51","0xd2a7e100e1ab1206287cda30fe2ae7d97d9d0deb","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","37.928577","$37.97","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x6a95a268b52fab23e3abfc7cb348a86b76d9550fd9a87a7665a3e41d95daadb5","41316560","1681016771","2023-04-09 05:06:11","0xb56be553c991d1d120a2585bdade45cf0086ecf5","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","33.582305","$33.62","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x6a95a268b52fab23e3abfc7cb348a86b76d9550fd9a87a7665a3e41d95daadb5","41316560","1681016771","2023-04-09 05:06:11","0xf17135ddde942ea02bde97ebe530557049265d40","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","30.47","$30.51","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x6a95a268b52fab23e3abfc7cb348a86b76d9550fd9a87a7665a3e41d95daadb5","41316560","1681016771","2023-04-09 05:06:11","0x96107b077dd96db8b9e310c846254a181ec768b8","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","30","$30.04","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
